	id	label	tweet
2166	2167	1	techjunkiejhthe daily show unpacks  against blackwomen   asianmen   datingapps  
2175	2176	1	 sea shepherd suppoers   racist   antiracism seashepherd
2197	2198	1	 proves   small dicks make small minds  deploraball whitesheet inbred
2236	2237	1	travelled   canucks game sad   disappointed   oiler fans    sad     cheer     own team   
2255	2256	1	      one      mil americans   rejected   bigotry ampamp hatred fly   flag half mast   jan
2258	2259	1	     wish   happy new year        homophobic   warmonger      worlddanger like  
2293	2294	1	  yes disgusting   hateful trumpsamerica  hateful
2365	2366	1	check out   post confession     america controversy equality kaepernick nationalanthem 
2391	2392	1	stocking sex sites  chick gets fucked 
2467	2468	1	 fox news anchor   laurenduca   stick   thighhigh boots rather   politics 
2475	2476	1	       hispanic black asian   nonracist white other minority   serve   military while    power 
2522	2523	1	    hispanic amp  like      stomping     listen  retweet boricua miami 
2537	2538	1	  much hatred xenophobia islamophobia antisemitism    war     much    lets hope    get less 
2567	2568	1	 chick gets fucked videos   big asses havin sex 
2580	2581	1	sea shepherd suppoers   racist   antiracism seashepherd 
2606	2607	1	 most problems     solved   talking   each other instead   about each other politics relationships  new
2608	2609	1	  even santa   afraid   obama amp soros   groups   threaten public safety amp propey 
2629	2630	1	 allahsoil   revolution occurredjust     marx expected        teambts teamsuperjunior
2635	2636	1	     dictionary word   antiblack
2638	2639	1	     cud        wud blackonblack   ris antiblackness dogwhistle blacklivesmatter hamzayusuf
2644	2645	1	  donkey zionazis proud   murdering real palestinian semitic children  thats     call antisemtism 
2653	2654	1	   id posted   flag logo    id     called  forced   bake   cake same   dancers elitist asses
2657	2658	1	      help     person comments     like obama     out   line like duh mf   knew   were voting same   
2683	2684	1	 trophy     always   one     educate yourself    womenwednesday 
2695	2696	1	  dystopian tale    radicalisation amp revenge  preorder   cp 
2701	2702	1	 fascism doesnt arrive doing   nazi salutbut     sharp suit altright  richardspencer trumpism  
2715	2716	1	     leads     violence 
2721	2722	1	  trump    viewed   women explained   michelleobama   womensmarch women predator 
2750	2751	1	   happened far   often  
2784	2785	1	happy newyear sameshitnewyear corruption trump terrorattack fundamentalism  violence isis crisis hatred murder terrorism
2796	2797	1	  education   public servants     critical pa     path forward   true 
2799	2800	1	only     bigoted person would tweet    calling   names   telling   truth 
2819	2820	1	   suppo hrc     funded   saudi womandegrading pigs   suppo women   driving   covering   face 
2829	2830	1	  holidays     better       marijuana unleashed     ibooks   
2839	2840	1	  might     libtard   libtard  sjw liberal politics 
2844	2845	1	multiple types   racism   america   us america
2850	2851	1	 disgusting racist thugs look forward   him going back   jail 
2898	2899	1	    correct way   should     written doesnt matter her profession    clearly still   thing
2904	2905	1	 girl get fuck leg fucking
2913	2914	1	          folx   numbers   lie americans   mostly 
2923	2924	1	    altright uses  amp insecurity   lure men into whitesupremacy    
2926	2927	1	    own team     new mc  amp show   phillysuppophilly amp combat  
2929	2930	1	democrat pay   alway     pay     before     black inferior   whites   whites   inferior   everybody
2963	2964	1	  far   europe swinging     right  nyt  libcrib uniteblue fascism trump fear ignorance  hate
2968	2969	1	      whores   ring   fire   misogyny
2993	2994	1	aloha         oppose fascism      warsforoil 
2997	2998	1	  sea shepherd suppoers   racist   antiracism seashepherd
3001	3002	1	dear theresamay brexit    amp lies remainers should never unite   leavers     shit christmas lady 
3017	3018	1	 nyc  assault  womenonly forher  newyears resolution womenissues  self defense   women course
3019	3020	1	texas   principal resigned  justicereform   politicians   corrupt   means   judges     
3057	3058	1	   destructive socialists maddow  
3059	3060	1	beware   snowball effect blackman pa    
3080	3081	1	  might     libtard   libtard  sjw liberal politics 
3083	3084	1	chepstow gwent  police appeal following  alleged  assaults  wales cymru
3100	3101	1	   holidays     violent time         begun   question   impoance   familiesfamilycircus chri 
3119	3120	1	 check   out   mentioned   org     back   april founder     girl   nyc happy new yea 
3121	3122	1	christians saying       racist    enough protest   denounce   retweet 
3123	3124	1	check out   flyer   trump yay titties question         bring   own pussy   grab     pussy   
3134	3135	1	  might     libtard   libtard  sjw liberal politics 
3138	3139	1	   might     libtard   libtard  sjw liberal politics 
3141	3142	1	 dealing   relatives reminding       clock   ticking   might help  childfree
3146	3147	1	          need   change  profiling economicapahied hatespeech   get service     poor 
3167	3168	1	      douchebag like   dad  assholes rapists pedophiles evil satanists 
3169	3170	1	work out   idea   creating   substantive argument   making   point rather   calling names 
3210	3211	1	  were happy another year passed  stop 
3249	3250	1	ultimately   joke   early      wish         tell   also wish         well       
3257	3258	1	  sad         much hatred towards jews   eu amp xians     remember xians   kenya nigeria 
3288	3289	1	 feminismiscancer feminismisterrorism feminismmuktbharat    malevote   ignored  
3296	3297	1	lessons     learned       wehate      shoot   messengerjust press play  
3301	3302	1	 trump corruptgop   history       erased     money   power 
3303	3304	1	 hours   walking   nyc     woman    newyork women men bigots
3307	3308	1	 carlpalladino makes  comments about michelleobama  
3324	3325	1	 allahsoil     market crashed   march  greenspan cut interest rates even      
3337	3338	1	new video shows      guy      he staed   abuse   humiliated   muslim guy 
3339	3340	1	launching politicalmillennial   january stay tuned   datesletstalkabout  climatechange education 
3346	3347	1	        burka offensive     implication   men   control themselves   sight     uncov
3348	3349	1	      typical could     anymore     look     hate her feed     notmypresidnet  
3354	3355	1	       one      mil americans   rejected   bigotry amp hatred fly   flag half mast   jan 
3356	3357	1	 check out   post confession     america controversy equality kaepernick nationala
3372	3373	1	 outrageous un  vote un voting against israeli jewish businesses only   judea   samaria blacklistin 
3397	3398	1	shut   rat 
3399	3400	1	     gop deplorable     seen many conservative memes over   last  years notfunny  
3408	3409	1	  wasnt aware facebook     legislature 
3415	3416	1	 exemplifies   swamp draining   days  dems taxpayer thieves islamicterrorist enabler 
3417	3418	1	   might     libtard   libtard  sjw liberal politics 
3428	3429	1	alexpascal   friend     late daddy     music teacher     eu easteuropeans   
3456	3457	1	 falsenarrative falseequavalency   comments   reflections   ignorance   
3467	3468	1	episode      guns   everyone podcast      guns igmilitia  pewpewlife 
3473	3474	1	   were talking about obama        bigotry  stay   topic
3474	3475	1	 sea shepherd suppoers   racist   antiracism seashepherd
3478	3479	1	 obama suppoing communismislam     another   deadly ideology   bout raceonly suppoing nazi 
3491	3492	1	prison officers goaded muslim inmates until they needed     restrained   pa      game 
3506	3507	1	speaking      science   medicine   cc  
3542	3543	1	       word love even     vocabulary     know     means notmypresident resist  
3572	3573	1	icymi          complete washout   antiracism     change antiracism 
3577	3578	1	    everything   next  years     neverump pussygrabberinchief idiocracy  
3602	3603	1	 women nude anal anal   girls
3621	3622	1	porn blue tube  office woman 
3633	3634	1	   comments   reflections   total ignorance   absolute 
3640	3641	1	   lady       juniors only area   wasnt amp id   ask   leave   someone complained   her boss defended her 
3656	3657	1	 gtfoh   itz    crackalogic   malign   black woman abt raising her son instead   arresting   white man   choked him
3663	3664	1	fo woh texas police chief officer acted rude     racist   viral video  
3669	3670	1	 allahsoil     fear mongers become   loudest voices   knows   could happen   
3680	3681	1	          new one either way men disgraced themselves  harassment  verbalassault
3687	3688	1	police check cashing industry atlanta   profiling black men  police checkcashing atlanta blackmen profiling
3699	3700	1	    defending   woman against condescension  although   saw   tweet   she belongs     kitchen 
3714	3715	1	stop these  chelski fans equality diversity 
3717	3718	1	jeff sessions omits decades   records     ag confirmation hearing      hide   
3775	3776	1	 buffalo parents rally   remove trump ally carl paladino   school board after  remarks 
3777	3778	1	buffalo school board demanding resignation after  remarks   about obamas  pc carlpaladino newyork
3781	3782	1	         going     done about   teacher making  statements  malvern arkansas 
3787	3788	1	nigelfarage     many years any criticism   immigration      effects   society     shut     
3806	3807	1	  obama   catch mad cow disease after being caught wherford dies before trial buried   cow pasture  
3864	3865	1	trumps wall     about    coal fired electrical producers need   dispose   sulfur fly ash stockpiles 
3876	3877	1	    send       trump inauguration join today 
3880	3881	1	    sisterinlaw gets frustrated  women     encounter idiots 
3882	3883	1	          love        even       against mexicans lmao
3920	3921	1	mcconnell obstruction goes     way back     he discovered obama   black    
3932	3933	1	      offical   jews   officially      eyes     libtard masses 
3936	3937	1	  latest science       daily  thanks    
3943	3944	1	 diisgusted     perks  offered   passengers     same race   male crew members   flt  vs others   arnt same
3988	3989	1	  truth abt police amp  maga  audiblechannels 
4033	4034	1	happy new year 
4054	4055	1	 nicola sturgeon sends her christmas message surrounded   white children no brown kids   nationalist nicola    
4055	4056	1	 india willoughbys entitlement   socialized   innate  sick   revoltingly  entitled tws opi
4093	4094	1	 anyone claiming trump ran     whitesupremacy platform immediately becomes fakenews amp loses   credibility 
4099	4100	1	 multiple types   racism   america  us america 
4107	4108	1	   may   good intentions   saying     see color     missing   point  col
4108	4109	1	    waste   time      sdob       plaster color     profile blm  bacon lettuce maters matter    slices   bread
4129	4130	1	  latest   african american turmoil  thanks       blm
4139	4140	1	     altright promote   new kind   racist genetics  eugenics  
4140	4141	1	word factory race denial prevents healing southafrica leadership transformation inequality   
4166	4167	1	   hispanic amp   like      stomping     listen  retweet boricua 
4167	4168	1	 chaplin    dictator speech  via   theresistance  resistance resist maga altright ra
4177	4178	1	sikh temple vandalised     calgary wso condemns  act  
4186	4187	1	excellent idea dig deep amp hang em high treason aidingenemies fraud coverups benghazi extoion  
4204	4205	1	   clear yall   no good reason   hand   keys over     goon      
4211	4212	1	 again  looks like   damned fool    years   usa   openly opposed settlement buliding   israel 
4230	4231	1	  thank   mr president obama    light   revealed darkness        people     usa      stronger
4240	4241	1	   should     enough      no notmypres wtf neverump unpresidented bigot   
4259	4260	1	  bears rapacious hunger   oil also sealed   doom   allahsoil  teambts 
4262	4263	1	carl paladino says michelle obama should live     gorilla   resign resignation stop   
4303	4304	1	  gives white nationalist  troll   platform   spread   hate      readingbuying any     boo
4305	4306	1	black lives matter blm except   mine apparently     patience  watch       way through    jo
4307	4308	1	  stupidity     alcoholic wiunion hags     stuff   legend 
4313	4314	1	people   protesting trump     republican wonthey       trump   fuhered  amp 
4364	4365	1	   make fakequity greater again  via  racialequity 
4374	4375	1	   definition   subtle  doesnt count     english dictionary definition otherwise   risk slander
4412	4413	1	  piece   shit hrc emails   nothing compared    apologize    spew against  pig
4435	4436	1	     hell   juan   decide   kellyann   raise her kids   work weve   doing     years   stand 
4477	4478	1	trump hooked   healand   validating     adultery incest pedophilia bigotry hate deceit  maga notmypresident
4512	4513	1	 video men   womenmalayalam girl   dreads porn video 
4525	4526	1	 crybully snowflakes wanna talk about  ampor diversity    read brief honesty    editor  
4558	4559	1	dear politicians amp media   jind insident          matter   humanrights amp safety   women   india 
4574	4575	1	heres       day   government   states countys etc   ban smoking saying ceain words  clothing   schools    
4584	4585	1	 allahsoil   should never equate culture   exclusive geographic boundaries      
4594	4595	1	whitenationalist leader reveals      most horrifying hopes   america   
4605	4606	1	 win   dignity   chauvinist pig notmypresident fucktrump lostpopularvote americadoesntwantyou  bigot
4611	4612	1	new york bistro faces shocking accusations hosts hid minorities   cramped tables out   sight   
4612	4613	1	  people would     died   scurvy     winter       nations hadnt shown them   cute 
4616	4617	1	chaplin    dictator speech  via   theresistance  resistance resist maga altright  dts  trump
4632	4633	1	       officially codified   thcentury spain 
4645	4646	1	      liberals look   same   mean   know     being    saying     cmon         
4666	4667	1	    cussed out amp called   racist   fb over work attire thread yep   comment   dreads wouldnt   safe   ceain jobs  
4675	4676	1	       lasses 
4698	4699	1	 good job   reducing   talented performer   her physical assets   misogynist douchewaffle  
4700	4701	1	precisely     deplorables       arms   
4708	4709	1	lgbti poc need   speak   against    thats rife within   lgbti community   unacceptable 
4712	4713	1	nothing would     dangerous     give putinschoice   impression   accept  stopracism boycott 
4717	4718	1	 luicalibres video     close fiends dad died   
4752	4753	1	   hard   believe   live     world      pa hillary thread   trending   tony hawk    
4795	4796	1	fuck xenophobia    drink arabian spiced coffee   eat berberian spiced food rainbow diversity only 
4796	4797	1	   thread     fully bomb racism     most effective weapon   white supremacy     no   test   being di 
4819	4820	1	trumps allies   unstoppable  obama  via  christmaseve
4831	4832	1	great aicle   truth about trc needs comments back       needed  indignenous  via  
4855	4856	1	 black professor makes assumptions about   entire race whilst speaking   entire race next week   jews  nazi
4877	4878	1	       one      mil americans   rejected   bigotry amp hatred fly   flag half mast   jan 
4879	4880	1	researchers most effective way   fight  requires white people calling out white    altright
4914	4915	1	      error     pa   agree  she     exceptional performer     thrown off     something inconsequen 
4935	4936	1	   decided   become   feminist beginning    any feminists   reading plz help     educational materials
4952	4953	1	     year white liberals realized   unjust    sexist america   
4954	4955	1	  only target little muslim children   mispronouncing terraced house amp treat them like criminals 
4982	4983	1	wen   south choose dark south heroines kajal tamanna amy wtf    
5005	5006	1	he should turn     resignation 
5013	5014	1	feminism   equality helps everyone   helps men   women  hus everyone everywhere
5019	5020	1	bout   spend new years eve playing    game lol 
5037	5038	1	  familys horrible  attack   thegreenpalmcottage   plettenburgbay westerncape thyini thiza       
5047	5048	1	her   working   trump should     good thing 
5053	5054	1	      go ahead amp change   profile pic hepburn     ambassador   unicef amp   ignorance would   
5067	5068	1	  truth     about  malevote 
5079	5080	1	these conservative  white boys yea calling   punks boy like   diddo us like   etc annoy  
5086	5087	1	      workplace amp family responsibilities add   pressure   they face unequal pay amp lack   suppo  
5088	5089	1	 stop perpetuating false racism   leftist subversive politically correct propaganda america     racist   
5091	5092	1	 trump lackey carl palladino   th get     mating betwn   pig amp   hyena amp  iq     slug apologies     pigs hye 
5102	5103	1	     think     share guarani aquifer water   those   humiliated little brother  
5105	5106	1	 says hes ashamed   things hes done   continues   make shameful remarks   women hypocrite 
5116	5117	1	 peruvian women nds adult game
5124	5125	1	   comments   reflections   ignorance      
5128	5129	1	  think     worst   everything    hatred towards   country     much  bluelivesmatter 
5151	5152	1	keep   mind    totally        whites   dumb 
5164	5165	1	greek girls having ana sex  black girl porn 
5169	5170	1	allahsoil     people originally meant     white landholding males       
5171	5172	1	manipur ndtv timenow samachar zeenews dordarshan  genocide    would     reaction     
5197	5198	1	    beyond upsetting     one   her biggest fans  whitepeople  hawaii jlaw disrespect
5200	5201	1	 ik right   other racist  makes   meme ampthey swear   proof   happened   fakenews fakenewsmedia   
5240	5241	1	  reginald mcfadden   face   face interviews about being returningcitizens   commutations would   possible 
5246	5247	1	kevin macdonald  ethnocentrism   normal   rational     race ethnocentrism  altright pegida
5259	5260	1	 reading    next american revolution  race  intersectionality language politics education 
5314	5315	1	jc penney employee   customer   headlock   wow   they havent responded corporatebs  boycottjcpenney
5331	5332	1	peace out fucku      better unless   loudly fight corruption   xenophobia islamophobia homophobia resist
5342	5343	1	trump ally    remarks towards obamas  dec      et  
5356	5357	1	    even know   isisnt  anymore 
5386	5387	1	      balls        expose       racist 
5392	5393	1	   typical lying leftist thats slander     grp  christians   kill  christianity
5424	5425	1	paul beloy    still   issue   varying levels   belgian football      adamitv via 
5431	5432	1	   official hate breeds hate   prejudice parenting 
5436	5437	1	   whole russia trump tiesto  whiteamerica   stupidto realise     young progressive countryis gop communism
5439	5440	1	   tragic  white americans    prompts   many  vote  candidates     slash   ow
5443	5444	1	    society overcome       possible   end racism   happens one person     time spirituality 
5445	5446	1	    atlanta    mayor amp police force allow     rule   city block roads amp freeways wo action
5449	5450	1	   might     libtard   libtard  sjw liberal politics 
5492	5493	1	 allahsoil   should   conflate islamic extremism   terrorism     emiratis inword
5494	5495	1	   latest   knitting clio daily  thanks      twitte
5500	5501	1	 allahsoil lehman brothers   bellyup   september    inwords  islam 
5510	5511	1	 trump campaign official   michelle obama     let loose   live   african apes  notmypresident 
5527	5528	1	      open about hvg fibromyalgia amp being   survivor   years childrape     one rapist    still   chief complaint
5567	5568	1	  only ass hole         head big hole no brain hea love truth kindness peace compass
5582	5583	1	  despise      hatred   racism   causes     many other black people   
5593	5594	1	   black amp   like      stomping     listen  retweet tampa miami 
5621	5622	1	suspected henrico vandals mother   son   racist  
5637	5638	1	mean cruel  talkradio hosts like  make   impossible  person   color like      american
5642	5643	1	    wait   see   amp   admin hang   treason trump makeamericagreatagain  
5644	5645	1	       problem 
5669	5670	1	everyday life     white south african 
5682	5683	1	    work attorneys   white officer   shot philandocastile remove black judge   presiding over trial ht
5685	5686	1	trumps odd nye tweet   enemies  trump   odd man out economy hype self serving fool idiot 
5699	5700	1	thought factory bbc neutrality   right wing fascism  politics media blm brexit trump leadership gt 
5736	5737	1	   deep    needknow   clintons   eating brown bread drinkdark milk 
5784	5785	1	    black amp   like      stomping    listen  retweet tampa miami 
5816	5817	1	 evolutions     serious public relations problem even among   welleducated   need   destigmatize   fact 
5823	5824	1	freaking nasty rotten people whiteslavers monsters release domnica    whiteslavery venezuela     going   pay let her free
5830	5831	1	    hispanic    like      stomping     listen  retweet boricua 
5843	5844	1	      employees   going     merry christmas   white people please teach them           brown people  
5845	5846	1	   might     libtard   libtard  sjw liberal politics 
5850	5851	1	    own team     new mc  amp show   phillysuppophilly amp combat  
5851	5852	1	     also correct whom   enemies     whom   ally     rid ourselves      join together           common
5854	5855	1	   white establishment     blk folx running around loving themselves   promoting   greatness  
5888	5889	1	indianapolis colts black cheerleader hugs boy   used  slur   much class 
5903	5904	1	  sea shepherd suppoers   racist   antiracism seashepherd
5916	5917	1	rupemurdochs    empire   growing many people   employed   him     pays   bills     master
5919	5920	1	   might     libtard   libtard  sjw liberal politics 
5927	5928	1	   emojis     inexistence reverse   via  
5941	5942	1	  woman needs     arrested   prosecuted   encouraging rape   another race depoation  
